probe,source_csv,harmful_limit,best_policy,causal_k,gap_closure_fraction,mean_harmful_accept_rate,mean_accept_rate,feasible_policy_count
direct,docs/experiments/wpu_v2_candidate_regret_gate_summary.csv,0.05,uncertainty_regret_gate_r0p75_m0,16,0.052464,0.028889,0.115556,12
direct,docs/experiments/wpu_v2_candidate_regret_gate_summary.csv,0.1,uncertainty_regret_gate_r0p5_m0p01,16,0.081898,0.051111,0.182222,16
direct,docs/experiments/wpu_v2_candidate_regret_gate_summary.csv,0.15,uncertainty_regret_gate,16,0.135886,0.126667,0.395556,22
direct,docs/experiments/wpu_v2_candidate_regret_gate_summary.csv,0.2,candidate_regret_gate_m0p02,16,0.235128,0.173333,0.557778,25
direct,docs/experiments/wpu_v2_candidate_regret_gate_summary.csv,0.25,candidate_regret_gate_m0p01,16,0.327146,0.235556,0.804444,27
direct,docs/experiments/wpu_v2_candidate_regret_gate_summary.csv,0.3,candidate_regret_gate_m0p005,16,0.32995,0.271111,0.88,31
perturbed,docs/experiments/wpu_v2_candidate_regret_gate_perturbed_summary.csv,0.05,uncertainty_regret_gate_r0p75_m0p0025,16,0.019921,0.017778,0.071111,8
perturbed,docs/experiments/wpu_v2_candidate_regret_gate_perturbed_summary.csv,0.1,uncertainty_regret_gate,16,0.15432,0.097778,0.315556,17
perturbed,docs/experiments/wpu_v2_candidate_regret_gate_perturbed_summary.csv,0.15,uncertainty_regret_gate,16,0.15432,0.097778,0.315556,17
perturbed,docs/experiments/wpu_v2_candidate_regret_gate_perturbed_summary.csv,0.2,candidate_regret_gate_m0p02,16,0.183508,0.16,0.5,20
perturbed,docs/experiments/wpu_v2_candidate_regret_gate_perturbed_summary.csv,0.25,candidate_regret_gate_m0p005,16,0.329756,0.235555,0.826667,23
perturbed,docs/experiments/wpu_v2_candidate_regret_gate_perturbed_summary.csv,0.3,candidate_regret_gate_m0p0025,16,0.339525,0.253333,0.875556,27
penalty,docs/experiments/wpu_v2_candidate_regret_gate_penalty_summary.csv,0.05,uncertainty_regret_gate_r0p5_m0p0025,16,0.074859,0.046667,0.166667,7
penalty,docs/experiments/wpu_v2_candidate_regret_gate_penalty_summary.csv,0.1,uncertainty_regret_gate,16,0.083764,0.075556,0.222222,9
penalty,docs/experiments/wpu_v2_candidate_regret_gate_penalty_summary.csv,0.15,uncertainty_regret_gate,16,0.083764,0.075556,0.222222,10
penalty,docs/experiments/wpu_v2_candidate_regret_gate_penalty_summary.csv,0.2,uncertainty_regret_gate,16,0.083764,0.075556,0.222222,11
penalty,docs/experiments/wpu_v2_candidate_regret_gate_penalty_summary.csv,0.25,uncertainty_regret_gate,16,0.083764,0.075556,0.222222,11
penalty,docs/experiments/wpu_v2_candidate_regret_gate_penalty_summary.csv,0.3,uncertainty_regret_gate,16,0.083764,0.075556,0.222222,13
