run_label,model,horizon,seed_count,constraint_violations_per_step,delta_norm_mean,branch_entropy_mean,branch_flip_rate,selected_k_mean,unsafe_delta_rejection_rate,correction_rate,corrected_object_fraction,rollback_rate,escalation_rate,escalation_success_rate,rollout_branch_accuracy,trajectory_mse,trajectory_position_mse,trajectory_velocity_mse,target_object_trajectory_mse,target_object_position_mse,target_object_velocity_mse,completed_training_steps,nonfinite_training_steps,nonfinite_gradient_steps,state_integrity_score,low_disruption_integrity_score
relation_adaptive_delta025,wpu-cws-indexed-mechanism-relation,5,3,0.041667,0.549475,0.874579,0.036458,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.770833,0.014159,0.020284,0.008035,6.419266,0.0,0.0,0.0,0.0,0.0,0.95056,0.95056
relation_adaptive_delta025,wpu-cws-indexed-mechanism-relation,10,3,0.1375,0.549388,0.920278,0.037037,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.08887,0.162294,0.015446,42.536227,0.0,0.0,0.0,0.0,0.0,0.897739,0.897739
relation_adaptive_delta025,wpu-cws-indexed-mechanism-relation,25,3,0.300833,0.562927,0.964743,0.033854,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.739266,1.42043,0.058103,361.306078,0.0,0.0,0.0,0.0,0.0,0.808068,0.808068
relation_bounded_delta005,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.235083,0.790378,0.020833,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.012121,0.018156,0.006085,6.089423,0.0,0.0,0.0,0.0,0.0,0.987605,0.987605
relation_bounded_delta005,wpu-cws-indexed-mechanism-relation,10,3,0.0,0.23517,0.805908,0.009259,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.081619,0.15499,0.008249,41.490147,0.0,0.0,0.0,0.0,0.0,0.989917,0.989917
relation_bounded_delta005,wpu-cws-indexed-mechanism-relation,25,3,0.2175,0.234325,0.880074,0.009549,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.729167,0.707117,1.398124,0.016109,361.358309,0.0,0.0,0.0,0.0,0.0,0.870264,0.870264
relation_bounded_delta005_lr3e4_clip1,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.238561,1.077081,0.041667,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.012133,0.01815,0.006116,6.082024,9.192385,2.971664,16.0,0.0,0.0,0.983317,0.983317
relation_bounded_delta005_lr3e4_clip1,wpu-cws-indexed-mechanism-relation,10,3,0.0,0.238644,1.078087,0.037037,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.645833,0.0817,0.154968,0.008433,41.463994,79.305106,3.622881,16.0,0.0,0.0,0.98424,0.98424
relation_bounded_delta005_lr3e4_clip1,wpu-cws-indexed-mechanism-relation,25,3,0.163333,0.237314,1.076676,0.032986,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.711506,1.405537,0.017476,363.18713,721.641456,4.732804,16.0,0.0,0.0,0.895263,0.895263
relation_bounded_delta005_targetloss1,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.239155,0.899456,0.026042,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.791667,0.012201,0.018306,0.006096,6.115898,0.0,0.0,0.0,0.0,0.0,0.986421,0.986421
relation_bounded_delta005_targetloss1,wpu-cws-indexed-mechanism-relation,10,3,0.0,0.23754,0.927828,0.018518,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.8125,0.082033,0.155741,0.008325,41.636998,0.0,0.0,0.0,0.0,0.0,0.987982,0.987982
relation_bounded_delta005_targetloss1,wpu-cws-indexed-mechanism-relation,25,3,0.000833,0.236673,0.977097,0.017361,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.6875,0.711838,1.407237,0.016439,363.36847,0.0,0.0,0.0,0.0,0.0,0.987786,0.987786
relation_bounded_delta005_unrolled_h2_4,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.239224,1.077094,0.026042,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.012136,0.018156,0.006115,6.082119,9.192612,2.971625,16.0,0.0,0.0,0.986419,0.986419
relation_bounded_delta005_unrolled_h2_4,wpu-cws-indexed-mechanism-relation,10,3,0.0,0.238967,1.078136,0.030093,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.645833,0.081705,0.154971,0.00844,41.46505,79.306661,3.623439,16.0,0.0,0.0,0.985618,0.985618
relation_bounded_delta005_unrolled_h2_4,wpu-cws-indexed-mechanism-relation,25,3,0.18,0.237049,1.077239,0.030382,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.710751,1.403988,0.017513,362.829388,720.911891,4.746885,16.0,0.0,0.0,0.886627,0.886627
relation_bounded_delta01,wpu-cws-indexed-mechanism-relation,5,3,0.0,0.429045,0.796444,0.020833,4.354167,0.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.013191,0.01911,0.007273,6.289925,0.0,0.0,0.0,0.0,0.0,0.980817,0.980817
