row_type,model,seed,train_mechanism,eval_mechanism,background_objects,total_objects_n,samples,branch_accuracy,majority_accuracy,mse,nll,brier,ece,selected_k_mean,causal_recall_mean,dense_compute_ratio,seed_count
seed,wpu-cws-indexed-sparse,11,nominal,nominal,32,37,36,0.5,0.444444,0.045138,1.025639,0.629066,0.201548,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,high_force,32,37,36,0.472222,0.444444,0.456995,1.056283,0.63888,0.130624,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,edge_shift,32,37,36,0.611111,0.527778,0.30669,1.016425,0.612921,0.153336,4.375,1.0,0.0,1
seed,wpu-cws-indexed-sparse,11,nominal,catch_heavy,32,37,36,0.138889,0.805556,0.013176,1.117214,0.698475,0.322649,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,nominal,32,37,36,0.472222,0.444444,0.046258,1.063577,0.647906,0.23173,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,high_force,32,37,36,0.416667,0.416667,0.463102,1.070543,0.648597,0.09035,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,edge_shift,32,37,36,0.583333,0.555556,0.328101,1.058998,0.636749,0.189134,4.35,1.0,0.0,1
seed,wpu-cws-indexed-sparse,13,nominal,catch_heavy,32,37,36,0.25,0.805556,0.014584,1.094987,0.674535,0.174747,4.825,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,nominal,32,37,36,0.305556,0.444444,0.047368,1.042883,0.633588,0.092996,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,high_force,32,37,36,0.361111,0.361111,0.428917,1.080953,0.656489,0.128142,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,edge_shift,32,37,36,0.305556,0.555556,0.331112,1.053039,0.637195,0.135603,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,17,nominal,catch_heavy,32,37,36,0.5,0.777778,0.013702,1.05647,0.643745,0.247528,4.8,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,nominal,32,37,36,0.472222,0.444444,0.062364,1.038552,0.629096,0.077765,4.4,1.0,0.0,1
seed,wpu-cws-indexed-sparse,19,nominal,high_force,32,37,36,0.361111,0.361111,0.42126,1.066856,0.646505,0.117879,4.4,1.0,0.0,1
