mode,shift,total_n,escape_rate,initial_scale,initial_offset,final_scale,final_offset,mean_selected_k,max_selected_k,mean_observation_budget,mean_base_budget_trim,mean_verifier_topup,mean_estimated_topup_value,causal_recall,trajectory_mse,state_integrity,observation_hit_rate,missed_hidden_rate,objective,work_proxy,bytes_proxy
wpu-learned-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-online-calibrated-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-verified-online-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-value-budget-online-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-sequential-online-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-composed-online-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-learned-composed-online-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-labeled-calibrated-observation,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
wpu-hand-adaptive,clean,128,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,1.0,0.052742,0.949929,0.0,0.0,0.052742,24.0,864.0
dense-state-copy,clean,128,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-learned-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-online-calibrated-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-verified-online-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-value-budget-online-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-sequential-online-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-composed-online-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-learned-composed-online-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-labeled-calibrated-observation,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
wpu-hand-adaptive,clean,128,0.25,1.0,0.0,1.0,0.0,30.125,32.0,1.390625,0.0,0.0,0.0,1.0,0.067652,0.936722,0.765625,0.0,0.088512,30.125,1084.5
dense-state-copy,clean,128,0.25,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-learned-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-online-calibrated-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-verified-online-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-value-budget-online-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-sequential-online-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-composed-online-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-learned-composed-online-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-labeled-calibrated-observation,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.734375,0.0,0.0,0.0,0.998047,0.070137,0.934533,0.935268,0.002232,0.111153,31.5,1134.0
wpu-hand-adaptive,clean,128,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.75,0.0,0.0,0.0,1.0,0.069327,0.935212,0.9375,0.0,0.110577,31.5,1134.0
dense-state-copy,clean,128,0.5,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-learned-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075884,0.929655,0.99135,0.00865,0.143853,32.0,1152.0
wpu-online-calibrated-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-verified-online-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-value-budget-online-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-sequential-online-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-composed-online-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-learned-composed-online-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-labeled-calibrated-observation,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.53125,0.0,0.0,0.0,0.992188,0.075609,0.92987,0.99135,0.00865,0.143578,32.0,1152.0
wpu-hand-adaptive,clean,128,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.59375,0.0,0.0,0.0,1.0,0.072052,0.932837,1.0,0.0,0.140958,32.0,1152.0
dense-state-copy,clean,128,0.75,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,128.0,4608.0
wpu-learned-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-online-calibrated-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-verified-online-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-value-budget-online-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-sequential-online-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-composed-online-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-learned-composed-online-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-labeled-calibrated-observation,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
wpu-hand-adaptive,clean,512,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.9375,0.081117,0.926224,0.0,0.0,0.081117,24.0,864.0
dense-state-copy,clean,512,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-learned-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-online-calibrated-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-verified-online-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-value-budget-online-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-sequential-online-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-composed-online-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-learned-composed-online-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-labeled-calibrated-observation,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
wpu-hand-adaptive,clean,512,0.25,1.0,0.0,1.0,0.0,30.375,32.0,1.421875,0.0,0.0,0.0,0.955078,0.087876,0.920009,0.796875,0.0,0.109204,30.375,1093.5
dense-state-copy,clean,512,0.25,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-learned-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086325,0.921334,0.932292,0.005208,0.127106,31.5,1134.0
wpu-online-calibrated-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086452,0.921236,0.932292,0.005208,0.127233,31.5,1134.0
wpu-verified-online-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.75,0.0,0.03125,0.001254,0.962891,0.084784,0.922589,0.9375,0.0,0.126034,31.5,1134.0
wpu-value-budget-online-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086452,0.921236,0.932292,0.005208,0.127233,31.5,1134.0
wpu-sequential-online-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086452,0.921236,0.932292,0.005208,0.127233,31.5,1134.0
wpu-composed-online-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086452,0.921236,0.932292,0.005208,0.127233,31.5,1134.0
wpu-learned-composed-online-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086452,0.921236,0.932292,0.005208,0.127233,31.5,1134.0
wpu-labeled-calibrated-observation,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.71875,0.0,0.0,0.0,0.958984,0.086452,0.921236,0.932292,0.005208,0.127233,31.5,1134.0
wpu-hand-adaptive,clean,512,0.5,1.0,0.0,1.0,0.0,31.5,32.0,2.75,0.0,0.0,0.0,0.962891,0.084784,0.922589,0.9375,0.0,0.126034,31.5,1134.0
dense-state-copy,clean,512,0.5,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-learned-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098287,0.911566,0.961124,0.038876,0.162037,32.0,1152.0
wpu-online-calibrated-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098679,0.911256,0.961124,0.038876,0.162429,32.0,1152.0
wpu-verified-online-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.40625,0.0,0.15625,0.006268,0.955078,0.08969,0.918692,0.987165,0.012835,0.155784,32.0,1152.0
wpu-value-budget-online-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098679,0.911256,0.961124,0.038876,0.162429,32.0,1152.0
wpu-sequential-online-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098679,0.911256,0.961124,0.038876,0.162429,32.0,1152.0
wpu-composed-online-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098679,0.911256,0.961124,0.038876,0.162429,32.0,1152.0
wpu-learned-composed-online-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098679,0.911256,0.961124,0.038876,0.162429,32.0,1152.0
wpu-labeled-calibrated-observation,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.25,0.0,0.0,0.0,0.935547,0.098679,0.911256,0.961124,0.038876,0.162429,32.0,1152.0
wpu-hand-adaptive,clean,512,0.75,1.0,0.0,1.0,0.0,32.0,32.0,4.5,0.0,0.0,0.0,0.966797,0.084395,0.923105,1.0,0.0,0.151895,32.0,1152.0
dense-state-copy,clean,512,0.75,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,512.0,18432.0
wpu-learned-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-online-calibrated-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-verified-online-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-value-budget-online-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-sequential-online-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-composed-online-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-learned-composed-online-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-labeled-calibrated-observation,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
wpu-hand-adaptive,clean,2048,0.0,1.0,0.0,1.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.945312,0.079338,0.927471,0.0,0.0,0.079338,24.0,864.0
dense-state-copy,clean,2048,0.0,1.0,0.0,1.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2048.0,73728.0
wpu-learned-observation,clean,2048,0.25,1.0,0.0,1.0,0.0,30.5,32.0,1.5,0.0,0.0,0.0,0.949219,0.0893,0.918854,0.8125,0.0,0.1118,30.5,1098.0
